日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20190228,5933,アルインコ,市場第一部（内国株）,3550,金属製品,3,建設・資材 ,7,TOPIX Small 2
20190228,5935,元旦ビューティ工業,JASDAQ(スタンダード・内国株）,3550,金属製品,3,建設・資材 ,-,-
20190228,5936,東洋シヤッター,市場第一部（内国株）,3550,金属製品,3,建設・資材 ,7,TOPIX Small 2
20190228,5938,ＬＩＸＩＬグループ,市場第一部（内国株）,3550,金属製品,3,建設・資材 ,4,TOPIX Mid400
20190228,5939,大谷工業,JASDAQ(スタンダード・内国株）,3550,金属製品,3,建設・資材 ,-,-
20190228,5940,不二サッシ,市場第二部（内国株）,3550,金属製品,3,建設・資材 ,-,-
20190228,5941,中西製作所,市場第二部（内国株）,3550,金属製品,3,建設・資材 ,-,-
20190228,5942,日本フイルコン,市場第一部（内国株）,3550,金属製品,3,建設・資材 ,7,TOPIX Small 2
20190228,5943,ノーリツ,市場第一部（内国株）,3550,金属製品,3,建設・資材 ,6,TOPIX Small 1
20190228,5945,天龍製鋸,JASDAQ(スタンダード・内国株）,3550,金属製品,3,建設・資材 ,-,-
20190228,5946,長府製作所,市場第一部（内国株）,3550,金属製品,3,建設・資材 ,7,TOPIX Small 2
20190228,5947,リンナイ,市場第一部（内国株）,3550,金属製品,3,建設・資材 ,4,TOPIX Mid400
20190228,5949,ユニプレス,市場第一部（内国株）,3700,輸送用機器,6,自動車・輸送機 ,6,TOPIX Small 1
20190228,5950,日本パワーファスニング,市場第二部（内国株）,3550,金属製品,3,建設・資材 ,-,-
20190228,5951,ダイニチ工業,市場第一部（内国株）,3550,金属製品,3,建設・資材 ,7,TOPIX Small 2
20190228,5952,アマテイ,市場第二部（内国株）,3550,金属製品,3,建設・資材 ,-,-
20190228,5955,ヤマシナ,市場第二部（内国株）,3550,金属製品,3,建設・資材 ,-,-
20190228,5956,トーソー,市場第二部（内国株）,3550,金属製品,3,建設・資材 ,-,-
20190228,5957,日東精工,市場第一部（内国株）,3550,金属製品,3,建設・資材 ,7,TOPIX Small 2
20190228,5958,三洋工業,市場第一部（内国株）,3550,金属製品,3,建設・資材 ,7,TOPIX Small 2
20190228,5959,岡部,市場第一部（内国株）,3550,金属製品,3,建設・資材 ,6,TOPIX Small 1
20190228,5962,浅香工業,市場第二部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20190228,5964,東洋刃物,市場第二部（内国株）,3550,金属製品,3,建設・資材 ,-,-
20190228,5965,フジマック,市場第二部（内国株）,3550,金属製品,3,建設・資材 ,-,-
20190228,5966,京都機械工具,市場第二部（内国株）,3550,金属製品,3,建設・資材 ,-,-
20190228,5967,ＴＯＮＥ,市場第二部（内国株）,3550,金属製品,3,建設・資材 ,-,-
20190228,5969,ロブテックス,市場第二部（内国株）,3550,金属製品,3,建設・資材 ,-,-
20190228,5970,ジーテクト,市場第一部（内国株）,3550,金属製品,3,建設・資材 ,6,TOPIX Small 1
20190228,5971,共和工業所,JASDAQ(スタンダード・内国株）,3550,金属製品,3,建設・資材 ,-,-
20190228,5973,トーアミ,市場第二部（内国株）,3550,金属製品,3,建設・資材 ,-,-
20190228,5974,中国工業,市場第一部（内国株）,3550,金属製品,3,建設・資材 ,7,TOPIX Small 2
20190228,5975,東プレ,市場第一部（内国株）,3550,金属製品,3,建設・資材 ,6,TOPIX Small 1
20190228,5976,高周波熱錬,市場第一部（内国株）,3550,金属製品,3,建設・資材 ,7,TOPIX Small 2
20190228,5981,東京製綱,市場第一部（内国株）,3550,金属製品,3,建設・資材 ,7,TOPIX Small 2
20190228,5982,マルゼン,市場第二部（内国株）,3550,金属製品,3,建設・資材 ,-,-
